word,category,difficulty,hint
ricotta,Food & Drink,easy,
parmesan,Food & Drink,easy,
brie,Food & Drink,easy,
camembert,Food & Drink,easy,
feta,Food & Drink,easy,
evaporated milk,Food & Drink,easy,
condensed milk,Food & Drink,easy,
chocolate milk,Food & Drink,easy,
eggnog,Food & Drink,easy,
yogurt parfait,Food & Drink,easy,
clotted cream,Food & Drink,easy,
paneer,Food & Drink,medium,
mascarpone,Food & Drink,medium,
provolone,Food & Drink,medium,
gouda,Food & Drink,medium,
stilton,Food & Drink,medium,
blue cheese,Food & Drink,medium,
gruyere,Food & Drink,medium,
ricotta cheesecake,Food & Drink,medium,
labneh,Food & Drink,medium,
quark,Food & Drink,medium,
curd cheese,Food & Drink,medium,
double cream,Food & Drink,medium,
egg white omelette,Food & Drink,medium,
poached eggs,Food & Drink,medium,
egg salad,Food & Drink,medium,
deviled eggs,Food & Drink,medium,
milkshake,Food & Drink,medium,
frozen yogurt,Food & Drink,medium,
buttermilk pancake,Food & Drink,medium,
ricotta toast,Food & Drink,medium,
yogurt smoothie,Food & Drink,medium,
custard tart,Food & Drink,medium,
panna cotta,Food & Drink,medium,
flan,Food & Drink,medium,
souffle,Food & Drink,medium,
baked brie,Food & Drink,medium,
cheese fondue,Food & Drink,medium,
raclette,Food & Drink,medium,
boursin,Food & Drink,medium,
colby jack,Food & Drink,medium,
Limburger,Food & Drink,medium,
Wensleydale,Food & Drink,medium,
red Leicester,Food & Drink,medium,
eggs Benedict,Food & Drink,medium,
frittata,Food & Drink,medium,
Spanish omelette,Food & Drink,medium,
crustless quiche,Food & Drink,medium,
lemon meringue pie,Food & Drink,medium,
dairy milk chocolate,Food & Drink,medium,
milk custard,Food & Drink,medium,
paneer tikka,Food & Drink,medium,
malai kofta,Food & Drink,medium,
kulfi,Food & Drink,medium,
frozen custard,Food & Drink,medium,
dahi puri,Food & Drink,medium,
buttermilk biscuit,Food & Drink,medium,
cheese souffle,Food & Drink,medium,
cheese straws,Food & Drink,medium,
cheddar biscuits,Food & Drink,medium,
double Gloucester,Food & Drink,medium,
oat milk,Food & Drink,medium,
cashew cheese,Food & Drink,medium,
ricotta gnocchi,Food & Drink,medium,
goat cheese,Food & Drink,medium,
requeson,Food & Drink,medium,
labneh dip,Food & Drink,medium,
clabber,Food & Drink,hard,
skyr,Food & Drink,hard,
ayran,Food & Drink,hard,
qatiq,Food & Drink,hard,
laban,Food & Drink,hard,
roquefort,Food & Drink,hard,
grana padano,Food & Drink,hard,
parmigiano reggiano,Food & Drink,hard,
stracchino,Food & Drink,hard,
taleggio,Food & Drink,hard,
robiola,Food & Drink,hard,
cacioricotta,Food & Drink,hard,
zabaglione,Food & Drink,hard,
leche flan,Food & Drink,hard,
matsoni,Food & Drink,hard,
gjetost,Food & Drink,hard,
brunost,Food & Drink,hard,
soured milk,Food & Drink,hard,
dulce de leche,Food & Drink,hard,
sufganiyah,Food & Drink,hard,
saganaki,Food & Drink,hard,
mizithra,Food & Drink,hard,
kefalotyri,Food & Drink,hard,
manouri,Food & Drink,hard,
burrata,Food & Drink,hard,
fromage blanc,Food & Drink,hard,
pot cheese,Food & Drink,hard,
smetana,Food & Drink,hard,
reblochon,Food & Drink,hard,
Munster,Food & Drink,hard,
bread,Food & Drink,easy,
rice,Food & Drink,easy,
pasta,Food & Drink,easy,
noodles,Food & Drink,easy,
cereal,Food & Drink,easy,
oatmeal,Food & Drink,easy,
pancake,Food & Drink,easy,
waffle,Food & Drink,easy,
muffin,Food & Drink,easy,
bagel,Food & Drink,easy,
biscuit,Food & Drink,easy,
croissant,Food & Drink,easy,
roll,Food & Drink,easy,
sandwich,Food & Drink,easy,
toast,Food & Drink,easy,
pizza,Food & Drink,easy,
hamburger bun,Food & Drink,easy,
pretzel,Food & Drink,easy,
tortilla,Food & Drink,easy,
chapati,Food & Drink,easy,
pita bread,Food & Drink,easy,
naan,Food & Drink,easy,
cracker,Food & Drink,easy,
cookie,Food & Drink,easy,
doughnut,Food & Drink,easy,
pie,Food & Drink,easy,
cake,Food & Drink,easy,
scone,Food & Drink,easy,
brioche,Food & Drink,easy,
baguette,Food & Drink,easy,
English muffin,Food & Drink,easy,
cornbread,Food & Drink,easy,
granola bar,Food & Drink,easy,
flatbread,Food & Drink,easy,
sourdough bread,Food & Drink,medium,
multigrain bread,Food & Drink,medium,
rye bread,Food & Drink,medium,
focaccia,Food & Drink,medium,
ciabatta,Food & Drink,medium,
pita pocket,Food & Drink,medium,
spaghetti,Food & Drink,medium,
fettuccine,Food & Drink,medium,
linguine,Food & Drink,medium,
penne,Food & Drink,medium,
macaroni,Food & Drink,medium,
lasagna noodles,Food & Drink,medium,
ravioli,Food & Drink,medium,
tortellini,Food & Drink,medium,
gnocchi,Food & Drink,medium,
risotto,Food & Drink,medium,
pilaf,Food & Drink,medium,
quinoa,Food & Drink,medium,
couscous,Food & Drink,medium,
barley soup,Food & Drink,medium,
polenta,Food & Drink,medium,
grits,Food & Drink,medium,
biscuit dough,Food & Drink,medium,
puff pastry,Food & Drink,medium,
croissant sandwich,Food & Drink,medium,
Danish pastry,Food & Drink,medium,
eclair,Food & Drink,medium,
macaroon,Food & Drink,medium,
biscotti,Food & Drink,medium,
shortbread,Food & Drink,medium,
scone with jam,Food & Drink,medium,
poppy seed bagel,Food & Drink,medium,
pretzel roll,Food & Drink,medium,
brioche bun,Food & Drink,medium,
cinnamon roll,Food & Drink,medium,
sticky bun,Food & Drink,medium,
cupcake,Food & Drink,medium,
brownies,Food & Drink,medium,
pound cake,Food & Drink,medium,
chiffon cake,Food & Drink,medium,
angel food cake,Food & Drink,medium,
fruit tart,Food & Drink,medium,
custard pie,Food & Drink,medium,
cheesecake,Food & Drink,medium,
bread pudding,Food & Drink,medium,
rice pudding,Food & Drink,medium,
corn muffin,Food & Drink,medium,
banana bread,Food & Drink,medium,
zucchini bread,Food & Drink,medium,
fortune cookie,Food & Drink,medium,
matcha cookie,Food & Drink,medium,
lava cake,Food & Drink,medium,
profiteroles,Food & Drink,medium,
madeleine,Food & Drink,medium,
snickerdoodle,Food & Drink,medium,
gingerbread,Food & Drink,medium,
paratha,Food & Drink,medium,
injera,Food & Drink,medium,
roti,Food & Drink,medium,
crepe,Food & Drink,medium,
blini,Food & Drink,medium,
arepa,Food & Drink,medium,
matzo,Food & Drink,medium,
pumpernickel,Food & Drink,hard,
farro,Food & Drink,hard,
spelt,Food & Drink,hard,
kamut,Food & Drink,hard,
teff,Food & Drink,hard,
amaranth bread,Food & Drink,hard,
malt loaf,Food & Drink,hard,
pane carasau,Food & Drink,hard,
lavash,Food & Drink,hard,
grissini,Food & Drink,hard,
pizzelle,Food & Drink,hard,
torrija,Food & Drink,hard,
pajeon,Food & Drink,hard,
semolina bread,Food & Drink,hard,
colomba,Food & Drink,hard,
panettone,Food & Drink,hard,
stollen,Food & Drink,hard,
babka,Food & Drink,hard,
bialy,Food & Drink,hard,
roscon,Food & Drink,hard,
challah,Food & Drink,hard,
papadum,Food & Drink,hard,
sel roti,Food & Drink,hard,
parotta,Food & Drink,hard,
dosa,Food & Drink,hard,
appam,Food & Drink,hard,
chocolate cake,Food & Drink,easy,
vanilla ice cream,Food & Drink,easy,
apple pie,Food & Drink,easy,
brownie,Food & Drink,easy,
cupcake,Food & Drink,easy,
cookie,Food & Drink,easy,
pudding,Food & Drink,easy,
cheesecake,Food & Drink,easy,
donut,Food & Drink,easy,
pie,Food & Drink,easy,
fudge,Food & Drink,easy,
caramel,Food & Drink,easy,
candy,Food & Drink,easy,
lollipop,Food & Drink,easy,
popsicle,Food & Drink,easy,
ice cream cone,Food & Drink,easy,
sorbet,Food & Drink,easy,
gelato,Food & Drink,easy,
meringue,Food & Drink,easy,
rice pudding,Food & Drink,easy,
banana split,Food & Drink,easy,
milkshake,Food & Drink,easy,
apple crumble,Food & Drink,easy,
chocolate chip cookie,Food & Drink,easy,
red velvet cake,Food & Drink,easy,
lemon tart,Food & Drink,easy,
berry tart,Food & Drink,easy,
eclair,Food & Drink,easy,
macaron,Food & Drink,easy,
brownie sundae,Food & Drink,easy,
banana bread,Food & Drink,easy,
chocolate mousse,Food & Drink,easy,
fruit salad,Food & Drink,easy,
parfait,Food & Drink,easy,
trifle,Food & Drink,easy,
tiramisu,Food & Drink,medium,
cannoli,Food & Drink,medium,
profiteroles,Food & Drink,medium,
panna cotta,Food & Drink,medium,
creme brulee,Food & Drink,medium,
baklava,Food & Drink,medium,
souffle,Food & Drink,medium,
chiffon cake,Food & Drink,medium,
opera cake,Food & Drink,medium,
florentine cookie,Food & Drink,medium,
whoopie pie,Food & Drink,medium,
custard tart,Food & Drink,medium,
lemon meringue pie,Food & Drink,medium,
marble cake,Food & Drink,medium,
meringue pie,Food & Drink,medium,
cream puff,Food & Drink,medium,
sugar cookie,Food & Drink,medium,
snickerdoodle,Food & Drink,medium,
gingerbread cookie,Food & Drink,medium,
fudge brownie,Food & Drink,medium,
sticky toffee pudding,Food & Drink,medium,
souffle pancake,Food & Drink,medium,
chocolate lava cake,Food & Drink,medium,
baked Alaska,Food & Drink,medium,
rum cake,Food & Drink,medium,
upside-down cake,Food & Drink,medium,
coconut cream pie,Food & Drink,medium,
key lime pie,Food & Drink,medium,
Boston cream pie,Food & Drink,medium,
fruit cobbler,Food & Drink,medium,
blueberry muffin,Food & Drink,medium,
scones with clotted cream,Food & Drink,medium,
profiterole tower,Food & Drink,medium,
chocolate truffle,Food & Drink,medium,
meringue kisses,Food & Drink,medium,
almond tart,Food & Drink,medium,
plum pudding,Food & Drink,medium,
mint chocolate chip ice cream,Food & Drink,medium,
pistachio ice cream,Food & Drink,medium,
strawberry shortcake,Food & Drink,medium,
cherry clafoutis,Food & Drink,medium,
almond biscotti,Food & Drink,medium,
walnut brownies,Food & Drink,medium,
pecan pie,Food & Drink,medium,
butterscotch pudding,Food & Drink,medium,
marshmallow fluff,Food & Drink,medium,
blueberry cheesecake,Food & Drink,medium,
pumpkin pie,Food & Drink,medium,
blackberry cobbler,Food & Drink,medium,
coconut macaroons,Food & Drink,medium,
matcha ice cream,Food & Drink,medium,
rice cake,Food & Drink,medium,
baked custard,Food & Drink,medium,
mango sticky rice,Food & Drink,medium,
banana pudding,Food & Drink,medium,
chocolate souffle,Food & Drink,medium,
fruit tartlet,Food & Drink,medium,
kouign-amann,Food & Drink,hard,
baba au rhum,Food & Drink,hard,
mille-feuille,Food & Drink,hard,
galette des rois,Food & Drink,hard,
clafoutis,Food & Drink,hard,
financier,Food & Drink,hard,
pandoro,Food & Drink,hard,
panettone,Food & Drink,hard,
strudel,Food & Drink,hard,
knafeh,Food & Drink,hard,
semla,Food & Drink,hard,
krumkake,Food & Drink,hard,
sufganiyah,Food & Drink,hard,
punschkrapfen,Food & Drink,hard,
stollen,Food & Drink,hard,
basbousa,Food & Drink,hard,
ma'amoul,Food & Drink,hard,
alfajor,Food & Drink,hard,
cajeta,Food & Drink,hard,
cuajada,Food & Drink,hard,
turron,Food & Drink,hard,
makroud,Food & Drink,hard,
qatayef,Food & Drink,hard,
amaretto cake,Food & Drink,hard,
bavarois,Food & Drink,hard,
Ward 8,Food & Drink,hard,
Bitter End Pie,Food & Drink,hard,
Zserb?? szelet,Food & Drink,hard,
mazurek,Food & Drink,hard,
revelation tart,Food & Drink,hard,
chocolate meringue pie,Food & Drink,hard,
exquisite eclair,Food & Drink,hard,
gourmet profiterole,Food & Drink,hard,
water,Food & Drink,easy,
lemonade,Food & Drink,easy,
orange juice,Food & Drink,easy,
apple juice,Food & Drink,easy,
cranberry juice,Food & Drink,easy,
tomato juice,Food & Drink,easy,
iced tea,Food & Drink,easy,
hot tea,Food & Drink,easy,
smoothie,Food & Drink,easy,
soda,Food & Drink,easy,
cola,Food & Drink,easy,
root beer,Food & Drink,easy,
ginger ale,Food & Drink,easy,
fruit punch,Food & Drink,easy,
sports drink,Food & Drink,easy,
energy drink,Food & Drink,easy,
herbal tea,Food & Drink,easy,
hot chocolate,Food & Drink,easy,
sparkling water,Food & Drink,easy,
club soda,Food & Drink,easy,
tonic water,Food & Drink,easy,
coconut water,Food & Drink,easy,
non-alcoholic beer,Food & Drink,easy,
virgin cocktail,Food & Drink,easy,
hot cider,Food & Drink,easy,
iced lemonade,Food & Drink,easy,
milk,Food & Drink,easy,
strawberry milk,Food & Drink,easy,
sparkling lemonade,Food & Drink,easy,
chai latte,Food & Drink,medium,
matcha latte,Food & Drink,medium,
vanilla latte,Food & Drink,medium,
caramel macchiato,Food & Drink,medium,
fruit soda,Food & Drink,medium,
lemon-lime soda,Food & Drink,medium,
ginger beer,Food & Drink,medium,
mango smoothie,Food & Drink,medium,
strawberry smoothie,Food & Drink,medium,
blueberry smoothie,Food & Drink,medium,
kiwi juice,Food & Drink,medium,
pomegranate juice,Food & Drink,medium,
mint lemonade,Food & Drink,medium,
coconut smoothie,Food & Drink,medium,
virgin mojito,Food & Drink,medium,
lemonade slushie,Food & Drink,medium,
berry frappe,Food & Drink,medium,
iced cappuccino,Food & Drink,medium,
iced mocha,Food & Drink,medium,
chocolate smoothie,Food & Drink,medium,
mango lassi,Food & Drink,medium,
horchata,Food & Drink,medium,
apricot nectar,Food & Drink,medium,
guava juice,Food & Drink,medium,
pear juice,Food & Drink,medium,
raspberry lemonade,Food & Drink,medium,
tropical punch,Food & Drink,medium,
spiced apple cider,Food & Drink,medium,
pineapple juice,Food & Drink,medium,
frozen lemonade,Food & Drink,medium,
orangeade,Food & Drink,medium,
oat milk latte,Food & Drink,medium,
dandelion tea,Food & Drink,hard,
hibiscus tea,Food & Drink,hard,
turmeric latte,Food & Drink,hard,
saffron tea,Food & Drink,hard,
butterfly pea tea,Food & Drink,hard,
yerba mate,Food & Drink,hard,
cascara tea,Food & Drink,hard,
chicory coffee,Food & Drink,hard,
golden milk,Food & Drink,hard,
rooibos tea,Food & Drink,hard,
matcha smoothie,Food & Drink,hard,
avocado milk,Food & Drink,hard,
pressed vegetable juice,Food & Drink,hard,
kombucha,Food & Drink,hard,
switchel,Food & Drink,hard,
shrub drink,Food & Drink,hard,
calpis,Food & Drink,hard,
non-alcoholic craft soda,Food & Drink,hard,
fermented rice drink,Food & Drink,hard,
barley water,Food & Drink,hard,
tamarind drink,Food & Drink,hard,
non-alcoholic absinthe,Food & Drink,hard,
non-alcoholic mulled wine,Food & Drink,hard,
spiced berry tea,Food & Drink,hard,
roasted dandelion root tea,Food & Drink,hard,
herbal kombucha,Food & Drink,hard,
kefir water,Food & Drink,hard,
sumac lemonade,Food & Drink,hard,
licorice tea,Food & Drink,hard,
non-alcoholic shrub soda,Food & Drink,hard,
turmeric ginger lemonade,Food & Drink,hard,
bitter melon juice,Food & Drink,hard,
chilled aloe vera drink,Food & Drink,hard,
fermented herbal tonic,Food & Drink,hard,
sparkling rosewater lemonade,Food & Drink,hard,
smoky lapsang souchong iced tea,Food & Drink,hard,
beer,Food & Drink,easy,
wine,Food & Drink,easy,
vodka,Food & Drink,easy,
whiskey,Food & Drink,easy,
rum,Food & Drink,easy,
tequila,Food & Drink,easy,
gin,Food & Drink,easy,
champagne,Food & Drink,easy,
cider,Food & Drink,easy,
red wine,Food & Drink,easy,
white wine,Food & Drink,easy,
sparkling wine,Food & Drink,easy,
cocktail,Food & Drink,easy,
sangria,Food & Drink,easy,
martini,Food & Drink,easy,
margarita,Food & Drink,easy,
mojito,Food & Drink,easy,
lager,Food & Drink,easy,
pilsner,Food & Drink,easy,
ale,Food & Drink,easy,
porter,Food & Drink,easy,
brandy,Food & Drink,easy,
scotch,Food & Drink,easy,
bourbon,Food & Drink,easy,
mimosa,Food & Drink,easy,
daiquiri,Food & Drink,easy,
cosmopolitan,Food & Drink,easy,
bloody mary,Food & Drink,easy,
screwdriver,Food & Drink,easy,
Irish coffee,Food & Drink,easy,
hot toddy,Food & Drink,easy,
vermouth,Food & Drink,easy,
sake,Food & Drink,easy,
Amaretto Sour,Food & Drink,medium,
Whiskey Sour,Food & Drink,medium,
Old Fashioned,Food & Drink,medium,
Negroni,Food & Drink,medium,
Sidecar,Food & Drink,medium,
Mint Julep,Food & Drink,medium,
Gimlet,Food & Drink,medium,
Moscow Mule,Food & Drink,medium,
Caipirinha,Food & Drink,medium,
Long Island Iced Tea,Food & Drink,medium,
Mai Tai,Food & Drink,medium,
Planter's Punch,Food & Drink,medium,
Tom Collins,Food & Drink,medium,
Singapore Sling,Food & Drink,medium,
Dark and Stormy,Food & Drink,medium,
Aperol Spritz,Food & Drink,medium,
Bellini,Food & Drink,medium,
Kir Royale,Food & Drink,medium,
Rum Punch,Food & Drink,medium,
Irish Mule,Food & Drink,medium,
Cuba Libre,Food & Drink,medium,
Sloe Gin Fizz,Food & Drink,medium,
Bourbon Smash,Food & Drink,medium,
Hot Buttered Rum,Food & Drink,medium,
Tequila Sunrise,Food & Drink,medium,
Sex on the Beach,Food & Drink,medium,
White Russian,Food & Drink,medium,
Black Russian,Food & Drink,medium,
Rusty Nail,Food & Drink,medium,
Claret Cup,Food & Drink,medium,
Caipiroska,Food & Drink,medium,
Frozen Margarita,Food & Drink,medium,
Frozen Daiquiri,Food & Drink,medium,
Kir,Food & Drink,medium,
French 75,Food & Drink,medium,
Zombie,Food & Drink,medium,
Between the Sheets,Food & Drink,medium,
Rum Runner,Food & Drink,medium,
Blue Hawaiian,Food & Drink,medium,
Bramble,Food & Drink,medium,
Clover Club,Food & Drink,medium,
Derby,Food & Drink,medium,
Jack Rose,Food & Drink,medium,
Hemingway Daiquiri,Food & Drink,medium,
Vesper Martini,Food & Drink,medium,
Americano,Food & Drink,medium,
Boulevardier,Food & Drink,medium,
Sazerac,Food & Drink,medium,
Vieux Carre,Food & Drink,medium,
Gin Fizz,Food & Drink,medium,
Ramos Gin Fizz,Food & Drink,medium,
Penicillin,Food & Drink,medium,
Millionaire,Food & Drink,medium,
Blue Lagoon,Food & Drink,medium,
Sea Breeze,Food & Drink,medium,
Bay Breeze,Food & Drink,medium,
Fuzzy Navel,Food & Drink,medium,
Paradise Cocktail,Food & Drink,medium,
Rum Swizzle,Food & Drink,medium,
French Connection,Food & Drink,medium,
Monkey Gland,Food & Drink,medium,
Red Russian,Food & Drink,medium,
Tuxedo,Food & Drink,medium,
Algonquin,Food & Drink,medium,
Ward 8,Food & Drink,medium,
Picon Punch,Food & Drink,hard,
Absinthe Frappe,Food & Drink,hard,
Raki,Food & Drink,hard,
Ouzo,Food & Drink,hard,
Soju,Food & Drink,hard,
Cacha??a,Food & Drink,hard,
Grappa,Food & Drink,hard,
Pisco,Food & Drink,hard,
Aquavit,Food & Drink,hard,
Arrack,Food & Drink,hard,
Baijiu,Food & Drink,hard,
Shochu,Food & Drink,hard,
Mezcal,Food & Drink,hard,
Singani,Food & Drink,hard,
Slivovitz,Food & Drink,hard,
Rakija,Food & Drink,hard,
Calvados,Food & Drink,hard,
